naslov,opis,cena,tip,uporabnik_id,kategorija_id
Motor,"Brez poškodb, deluje perfektno.",900.04,prodaja,352,3
Smuči,"V dobrem stanju, brez napak.",768.32,prodaja,1974,4
Quad,"Brez poškodb, deluje perfektno.",430.44,prodaja,1810,3
Smuči,Iščem za darilo.,1056.92,nakup,1056,4
Vinilne plošče,Iščem ugodne ponudbe.,1155.48,nakup,783,8
Pomivalni stroj,"Original embalaža, polna oprema.",1414.44,prodaja,811,5
Biografija,"Ugodna cena, možen dogovor.",142.48,prodaja,999,6
Hlače,Kontaktirajte me po emailu.,1286.1,nakup,43,2
Brusilnik,"Znižana cena, hitro!",1047.48,prodaja,366,9
Flavta,"Original embalaža, polna oprema.",1868.25,prodaja,143,8
Roman,Iščem ugodne ponudbe.,,nakup,111,6
Krožna žaga,Sprejemam tudi malo rabljenega.,347.97,nakup,18,9
Brusilnik,"Original embalaža, polna oprema.",760.14,prodaja,1563,9
Ura,"V dobrem stanju, brez napak.",1736.61,prodaja,1643,2
Telefon,"Odlično ohranjeno, malo uporabljeno.",,prodaja,192,1
Družabna igra,"Znižana cena, hitro!",1553.09,prodaja,1298,7
Plišasta igrača,"Ugodna cena, možen dogovor.",1126.63,prodaja,1055,7
Quad,"Malo vidne obrabe, sicer ok.",1167.88,prodaja,347,3
Kapa in rokavice,"Original embalaža, polna oprema.",,prodaja,237,2
Kolesarska čelada,Zelo dobro ohranjeno.,1680.45,prodaja,254,4
Monitor,Iščem v dobrem stanju.,285.0,nakup,1829,1
Enciklopedija,"Brez poškodb, deluje perfektno.",1160.17,prodaja,753,6
Kavbojke,"Brez poškodb, deluje perfektno.",425.07,prodaja,230,2
Mešalnik za beton,Potrebujem čim prej.,1409.04,nakup,1577,9
Učbenik,Zelo dobro ohranjeno.,1467.03,prodaja,1389,6
Krožna žaga,"Kupljeno lani, skoraj novo.",802.67,prodaja,510,9
Motor,"Original embalaža, polna oprema.",881.84,prodaja,1498,3
Lestev,"Original embalaža, polna oprema.",276.65,prodaja,1509,9
Saksofon,"Ugodna cena, možen dogovor.",1220.86,prodaja,742,8
Saksofon,"Rabljeno, deluje brezhibno.",1285.83,prodaja,561,8
Omara,"Kupljeno lani, skoraj novo.",,prodaja,1707,5
Računalnik,Kontaktirajte me po emailu.,1221.12,nakup,1433,1
Slušalke,Zelo dobro ohranjeno.,1155.38,prodaja,1206,1
Kavč,Sprejemam tudi brez embalaže.,,nakup,1552,5
Zvočnik,"Rabljeno, deluje brezhibno.",893.84,prodaja,1814,1
Kolesarska čelada,Potrebujem čim prej.,,nakup,209,4
Sončna očala,"Kupljeno lani, skoraj novo.",,prodaja,203,2
Zunanja igrača,Prodam zaradi menjave.,1220.16,prodaja,1764,7
Učbenik,"Original embalaža, polna oprema.",1120.68,prodaja,297,6
Športni copati,Prodam ker ne potrebujem več.,1062.3,prodaja,1727,2
Jedilna miza,Prodam ker ne potrebujem več.,,prodaja,479,5
Stripovski album,"Kupljeno lani, skoraj novo.",44.93,prodaja,288,6
Gorsko kolo,Prodam zaradi menjave.,1398.55,prodaja,121,4
Tepih,Primerno za vsakdanjo uporabo.,,nakup,1641,5
Žoga,Primerno za vsakdanjo uporabo.,503.65,nakup,1668,4
Škarje za živo mejo,"Znižana cena, hitro!",1680.22,prodaja,1671,9
Pulover,Kontaktirajte me po emailu.,668.79,nakup,1564,2
Učbenik,"V dobrem stanju, brez napak.",208.4,prodaja,1427,6
Zvočna oprema,Iščem v dobrem stanju.,1235.53,nakup,694,8
Grablje,"Rabljeno, deluje brezhibno.",1545.9,prodaja,79,9
Mešalnik za beton,"Kupljeno lani, skoraj novo.",1457.95,prodaja,1852,9
Omara,Sprejemam tudi malo rabljenega.,,nakup,1533,5
Tablica,Iščem za darilo.,1172.67,nakup,342,1
Smučke,Zelo dobro ohranjeno.,1511.69,prodaja,1286,4
Vlakec,"Malo vidne obrabe, sicer ok.",416.51,prodaja,1575,7
Brusilnik,"Rabljeno, deluje brezhibno.",1297.8,prodaja,1862,9
Motor,"Kupljeno lani, skoraj novo.",1382.78,prodaja,1990,3
Traktor,Prodam ker ne potrebujem več.,1432.11,prodaja,532,3
Varilni aparat,"Znižana cena, hitro!",1071.92,prodaja,1554,9
Traktor,Sprejemam tudi brez embalaže.,1010.05,nakup,112,3
Smučke,Sprejemam tudi brez embalaže.,1477.67,nakup,1203,4
Vrtalnik,"Malo vidne obrabe, sicer ok.",1445.12,prodaja,1498,9
Tekaški copati,Zelo dobro ohranjeno.,,prodaja,266,4
Sesalec,Zelo dobro ohranjeno.,460.23,prodaja,1788,5
Roman,"Kupljeno lani, skoraj novo.",1705.26,prodaja,1033,6
Škarje za živo mejo,Iščem ugodne ponudbe.,1093.48,nakup,498,9
Motor,Sprejemam tudi brez embalaže.,951.36,nakup,1269,3
Grablje,Iščem ugodne ponudbe.,890.39,nakup,1031,9
Harmonika,"Malo vidne obrabe, sicer ok.",376.96,prodaja,632,8
Sončna očala,"Kupljeno lani, skoraj novo.",,prodaja,826,2
Violina,Prosim kontaktirajte z emailom.,553.69,nakup,94,8
Tekaški copati,Prodam zaradi menjave.,1126.53,prodaja,1855,4
Zimski škornji,"Kupljeno lani, skoraj novo.",1230.25,prodaja,1334,2
Kombi,Prodam ker ne potrebujem več.,1144.22,prodaja,527,3
Brivnik,"Original embalaža, polna oprema.",1225.46,prodaja,432,1
Flavta,"Odlično ohranjeno, malo uporabljeno.",,prodaja,1382,8
Skuterček,Zanimajo me različne ponudbe.,,nakup,765,3
Mešalnik za beton,Prodam zaradi menjave.,643.05,prodaja,10,9
Skuterček,"Malo vidne obrabe, sicer ok.",287.56,prodaja,1693,3
Enciklopedija,"Original embalaža, polna oprema.",544.33,prodaja,1667,6
Zvočna oprema,"Znižana cena, hitro!",1528.87,prodaja,271,8
Klaviature,Sprejemam tudi malo rabljenega.,1319.51,nakup,683,8
Vinilne plošče,Sprejemam tudi malo rabljenega.,,nakup,136,8
Klimatska naprava,"V dobrem stanju, brez napak.",22.24,prodaja,1526,1
Kombi,Iščem za darilo.,198.25,nakup,1659,3
Torba,"Kupljeno lani, skoraj novo.",860.35,prodaja,1380,2
Pomivalni stroj,Kontaktirajte me po emailu.,500.18,nakup,1760,5
Slušalke,Zelo dobro ohranjeno.,1130.72,prodaja,1169,1
Učbenik,Sprejemam tudi malo rabljenega.,341.27,nakup,1215,6
Mešalnik za beton,Potrebujem čim prej.,670.63,nakup,306,9
Zimski škornji,Iščem v dobrem stanju.,,nakup,1554,2
Prenosnik,"Ugodna cena, možen dogovor.",1465.59,prodaja,1156,1
Vrtna garnitura,Zanimajo me različne ponudbe.,844.81,nakup,1981,5
Jedilna miza,Prodam ker ne potrebujem več.,329.98,prodaja,306,5
Torba,"Brez poškodb, deluje perfektno.",1536.33,prodaja,1163,2
Vrtalnik,"Malo vidne obrabe, sicer ok.",608.96,prodaja,552,9
Slovar,Potrebujem čim prej.,1120.7,nakup,1760,6
Mešalnik za beton,"Malo vidne obrabe, sicer ok.",76.47,prodaja,604,9
Zunanja igrača,"Brez poškodb, deluje perfektno.",282.81,prodaja,1505,7
Tekaški copati,"Kupljeno lani, skoraj novo.",1835.25,prodaja,722,4
Kavč,Zelo dobro ohranjeno.,614.42,prodaja,1191,5
Rolerji,Zanimajo me različne ponudbe.,345.39,nakup,1948,4
Potopisna knjiga,Iščem ugodne ponudbe.,133.28,nakup,195,6
Kamp prikolica,Prodam zaradi menjave.,1925.16,prodaja,1471,3
Roman,Sprejemam tudi malo rabljenega.,120.16,nakup,301,6
Skuter,Zelo dobro ohranjeno.,1064.17,prodaja,377,3
Obleka,"Znižana cena, hitro!",1737.33,prodaja,205,2
Škarje za živo mejo,"Original embalaža, polna oprema.",1718.82,prodaja,1169,9
Otroška knjiga,"Original embalaža, polna oprema.",1918.3,prodaja,1273,6
Brivnik,Potrebujem čim prej.,788.92,nakup,1006,1
Slovar,Iščem ugodne ponudbe.,,nakup,1384,6
Škarje za živo mejo,"Original embalaža, polna oprema.",1200.8,prodaja,1412,9
